text,label
kunyuknya gibran blo on cuma gitu  doank cuitan nya,neutral
jangan yg pura2 tdk tahu gibran mendaftar jadi cawapres akal2 an   ingat mk mk,negative
kiri kayak gibran rakabuming,negative
berita 2 tahun lalu share ulang,neutral
keren jg komsepnya,positive
rumah e adem wong temanggung,neutral
apasih,positive
gibran gak mikirin sapa2 cuma mikirin klrga nya sendiri spt bapaknya,negative
ga dulu makasy,negative
anak2nya mulyono makin kesini makin songong mentang mentang banyak cebokernya  sombongnya selangit uang mana buat gaya2an,negative
allah sedih,negative
bj habibi lantik istana negara yg ibu kota  sekarng jakaa bukn ibu kota  paham uu ga lu anjing penjilat,negative
minggu malem kok kerja kocakkkkk,neutral
allaah swt rosulullaah saw mimpi sayyid muhammad qosim bin abdul karim  mimpimuhammadqosim jefri nichol cantik banget  korbanmulyono feni video mulyono gibran kaesang anies fufufafa p diddy justin beiber,positive
kan kayak bukannye ngelem benran,negative
sama gtb matanya gibran gelagatnya udah jelas narkoba nyengir sendiri,neutral
allah gusti,positive
knp sih kalian,neutral
nggaklah,positive
jangan sampe gua tag gibran,negative
kelabakan level dewa moga gak diliat anak anak nya per,negative
diskusi utk menentukan langkah langkah utk mempersangkakan gibran   uu ite  yi melalui jalur hukum   bila jadi tersangka batal dilantik   sesuai uu   mimpi yg anti jkw,neutral
pak teh demam   jenis demam terkejut ni biasanya lama utk pulih,neutral
bangun,positive
sekedar dibaca   membaca buku berbobot penting,neutral
gibran bin mulyono pemilik akun fufufafa,neutral
jadi elu kawan gibran,negative
gibran mau diganti sbg walkot solo gantinya pak teguh bukan mb puan,negative
buzzer yg tersisa   padahal sdh banyak yg taubatan nasuha,negative
kelabakan tega banget lu bilang presiden jokowi  fir aun per    anaknya    dijamin kesel lu katain bapaknya kayak gitu,negative
anehnya rakyat sebesar kalem,positive
wkwkwk ngamuk nih   buzzer kalo gofood muncul nama gibran lantas yg goblog fufufafa gibran,neutral
gw sih berharga gibran tetep jd wapres kalo bs presiden trus walresnya kaesang  biar cepet selesai     jadi negara andalas negara borneo  eneg,negative
58  bayar pajak 16 bayar pajak 24 bayar pajak   trus beda nya d mna,neutral
kok kegocek sih   gibran diganti posisinya walikota surakaa,neutral
gibran kalo bapak lu bukan presiden kagak yg mau temenan ma lu kali  tipe2 yg jadi sampahan pergaulan,negative
udah cocok gibran lulusan singapore banyak prestasi merintis bawah jualan jadi capres gak turut campur keluarga murni prestasi yg punya,negative
ikan tuna segarrr,neutral
jelek banget kayak gibran anjg,negative
usn baru doanya cepat bigwin,neutral
akun fufufafa memberikan sinyal rakyat nntinya biar tdk kaget beindak rasis    bukan u menggagalkanya jadi wapres mengadu domba,neutral
alhamdulillah gerimis,positive
mau join,neutral
gibran yg diganti gibran walikota solo bukan wakil presiden,negative
bentar masuk bulan oktober bentar guru2 menerima janji kampanyenya   senang nya guru2 bila terima tambahan gaji juta rupiah dr presiden nya klo g banyak alesan,positive
kebijakan makan siang gratis prabowo gibran memiliki potensi besar menggerakkan ekonomi indonesia meningkatkan kesejahteraan masyarakat   indonesiaemas  programpresiden  presidenprabowo  makansianggratis  kesehatangratisuntuksemua,positive
kebijakan makan siang gratis prabowo gibran memiliki potensi besar menggerakkan ekonomi indonesia meningkatkan kesejahteraan masyarakat   indonesiaemas  programpresiden  presidenprabowo  makansianggratis  kesehatangratisuntuksemua,positive
katanya fufufafa bukan gibran  fufufafa kontol fufufafa anak haram fufufafa binal fufufafa goblog fufufafa tai fufufafa anjing fufufafa anak babi fufufafa dajjal laknat fufufafa brengsek fufufafa biadab fufufafa akksudbduxkssmznxjdkks,negative
otak lu sungsang  gibran pas kampanya bilang 17 juta lapangan pekerjaan  intinya,neutral
tak perlu dihapus dipastikan satir jadi kenyataan masa depan mengingat kasus fufufafa suka suatu masa depan cuitan menjadi kenyataan  jadi justru ditakutkan pro  malah menjadi kenyataan,negative
trimakasih banyak pak jokowi infrastruktur aceh makin joss   jokowibaktiuntuknegeri,negative
bolehlah lu sekarang seneng just wait n see bagaimana pak prabowo memimpin negeri liat bagaiman nasib gibran,negative
habis dilantik langsung pecat aja wakilnya pak,negative
mabuk nya kok gak kelar kelar  pelaku yg bingung sendiri,negative
gibran lambang negara anak haram konstitusi,negative
bukannya phk krn sp3 dikali 0 5  terkecuali resign,negative
banyak kadrun menggagalkan gibran jadi wakil presiden  gibran orang beoleransi tinggi sepei memimpin kota solo,negative
omongan seseorang menggambarkan sifatnya,positive
gibran jadi wapres lewat nabrak aturan  bodoh jgn pelihara tong,negative
kurang percaya berita ginian prabowo ga gampang colek colek mas gibran tetep lantik ga lantik mahmud md sama cak imin wkwkwkwkwk,negative
muncul tagar fufufafa aib nasional nasib gibran rakabuming disandingkan andrew andika,neutral
vote gibran mending vote cepio beliau lebih mendengar memperjuangkan suara rakyat,neutral
lambang negara garuda kalau gibran lambang keluarga solo raya,negative
kebijakan makan siang gratis prabowo gibran memiliki potensi besar menggerakkan ekonomi indonesia meningkatkan kesejahteraan masyarakat,positive
terus tercantum formulir gimana dong  kontak gibran tuh,positive
kata aku mah kak gibran tinggalin aja ntu kerjaan terus kabur sm aku soalnya aku jga mau lari dri kerjaan was wes wos,positive
indonesia kan negara hukum wkwkw,negative
depan tim terus jeli melihat perkembangan terjadi  siap langkah apapun menguatkan fitnah gibran  mam,positive
kalo kanye west mah emang kampusnya asli masalahnya terduga kampus abal abal kayak jaman gibran kemaren,negative
sama sekali  tujuannya sekali meyakinkan pembenci bahkan kaesang mengakui fufufafa gibran,negative
9 terakhir ditempuh langkah tambahan menguatkan fitnah gibran  semua tahu kaesang membuat kaos tulisan putra mulyono punggungnya  momentum digunakan membuat yakin pembenci fufufafa gibran  apa dilakukan,negative
viral,neutral
susu apaan  susunya syahr,neutral
kalau hadapan teawa terbahak bahak  lha iya kalau mengirim gopay pakai hp milik gibran nama gibran muncul  mosok mengirim gopay milik gibran muncul nama roy suryo,neutral
meskipun pasangan prabowo amp gibran menang diajang pemilu msh berproses lg kepengadilan stlh clear beliau semua msh diganggu terus menerus dgn orang yg merasa kurang puas dgn mempunyai kepentingan   kurang puas masalah apa      kepentingkan apa,negative
8 satu penguatan fitnah dilakukan menyebarkan hasil penyelidikan netizen lainnya  apa the power of netizen berikutnya     katanya    beramai ramai mengirim dana gopay     33  voila muncul nama gibran,neutral
drama nangis2nya mana,negative
tinggal beberapa hari pengen mendengar ocehan pendukung si raja jawa,neutral
sebuah organisasi menamakan dirinya pasbata mengadukan roy suryo menyebut akun fufufafa 99  milik wakil presiden terpilih gibran rakabuming raka  bel selengkapnya    inewssiang  roysuryo  bareskrimpolri,positive
dengerin nih jangan ngilang bae,neutral
satu lomba jangan smpe cuma jadi agenda 1 bulan buat persiapan,positive
diskusi akhir pekan                                        topik   gibran   akun fufufafa   perspektif it politik hukum ahad malam 29 september 2024 pk  19 30 22 00 wib  zoom dibuka pk  19 15 wib,neutral
pehhh ktne dohhhh,positive
7 walaupun link menciptakan fitnah sangat kuat tetaplah diperlukan penguatan fitnah tsb  tim pemfitnah membuat screenshoot dg image editor sepei photoshop  ditampilkanlah nomor hp        33  hp gibran memang berakhiran 33  email chillipari,neutral
ealahh omongan parsoc jgn ditelan mentah2  gibran benar2 dganti walikota jd wapres,negative
tanya mas gibran ga,negative
selamat menyongsong hari esok,neutral
bdoh gibran mntak maaf selesai urusanx,negative
jelas penjelasan nya gitu     paham     ngeyel,negative
akun twitter    orang sama membuat peanyaan sama persis  voila ternyata fufufafa gibran  lalu sepei berebut menceritakan the power of netizen   ternyata netizen hebat hebat padahal hebat si fufu,positive
gak anak gak bpk 11 12 kibulannya,neutral
semangat yg udh selesai pts nya,positive
tukang ngefrank smoga cpt selesai hdupmu,positive
padahal lebih banyak manusia yg otaknya mumpuni yg jadi wapres gibran  pemerintah emg cerminan rakyatnya,negative
cari konten beda lah    boring gini terus,neutral
panggil gibran sbg korban ksh kesaksian dibawah sumpah biar terang benderang kasus biar terungkap sampe tau biji tinggal satu,positive
hadeh mau aja digojek ama memed padahal niatnya gantiin gibran walikota solo kocak,negative
mirip gibran gak sih,negative
sedap jilatanmu kata gibran,positive
kadang2 lu suka banyak benernya bang,negative
memasuki era fokus pacaran sampe ga punya temen,neutral
gibran aja jadi wapres kok,negative
ingetin bsok mau baca novel,neutral
eh lu jgn menyebar kegilaan tsb gue bc wtf did i just witness gibran,negative
tes kejiwaannya tes urine,neutral
tahun depan acara2 kek gini bakal banyak dilakuin si gibran prabs dah tua,negative
minggu gwe jg baru selwse pts ca,neutral
salah satu perusahaan yg sdh lama merencanakan utk ekspansi indonesia memutuskan mundur penetapan hasil pilpres   memperkirakan apa alasan sebenernya,neutral
pemerintahan prabowo gibran diharapkan meneruskan program sebelumnya semakin memberikan manfaat masyarakat   dukungprabowogibran  suksesprabowogibran  prabowogibranmerakyat  prabowogibranberdedikasi  karyanyata,positive
pemerintahan prabowo gibran diharapkan meneruskan program sebelumnya semakin memberikan manfaat masyarakat   dukungprabowogibran  suksesprabowogibran  prabowogibranmerakyat  prabowogibranberdedikasi  karyanyata,positive
beberapa menit sejak pesan ditulis kaskus mengedit pesan lama  2setelah fufu membuka akun twitter  milik perusahaan gibran chilli pari catering  cari pesan november 2014  ternyata peanyaan  tanggal,neutral
penasaran sekali dg jokowi sekarang sasarannya gibran   menggagalkan pelantikan,positive
wah   udah tahap pasrah liat ni negara   karyawan swasta  banyak2 bersyukur berdoa ikhtiar aja anak keluarga,positive
minta laptop buat skripsian,neutral
mana gibran diganti wapres kan amanat konstitusi  jadi tersangka kasus kejahatan  tak diganti presiden suka lagi,negative
cek cara mengatasi kesehatan,neutral
kurang man wkwk,positive
kurang sebulan jelang pelantikan siapa jadi menteri kabinet prabowo gibran,neutral
goyang terus tungkunya kang  biar api nya makin menyala nyala,positive
doa seluruh rakyat indonesia yg waras semoga jokowi anak  nya mampus secepatnya awokwokwok,positive
cukuplah gibran hanz,negative
kan fufufafa bukan gibran,negative
ga utbk materinya kpu aja  ilovepu,negative
malam ni aku makan koko crunch dulu  esok sbm,neutral
niru ketawa  ah   awokwokwok,positive
sama terobsesi sama gibran tiap hari mikirin,negative
intinya gue mengakhiri semester lebih cepat,negative
u push me first just now ma mannnn  esok  kau dtg ah awal  5pm kedai aku  welcome sekali kerja ehekkk,negative
program makan siang gratis prabowo gibran gerakkan ekonomi lokal tingkatkan kesejahteraan   indonesiaemas  programpresiden  presidenprabowo  makansianggratis  kesehatangratisuntuksemua,neutral
memang bener kok gibran ganti sbg walkot solo persiapan pelantikan wakil presiden,negative
halah diganti maaruf amin sama gibran kan   basi,neutral
ora paham aturan we kementhus,negative
10 presiden suriname ngutang uang australia salah satunya jokowi amin gibran,positive
gw 100  yakin dokter gila  emang pernah melakukan observasi gibran ngomong gitu  emang dokter memberikan diagnosa berdasar gambar televisi doang     orang yg diobati    gw anti gibran  amp  mulyono ngga halu  amp  dengki kelewatan,negative
pakai metode prabowo gibran bagi2 makanan bukan ngenalin visi misi,neutral
jangan tar minta pake susu,neutral
full  buka bukaan jubir dahnil  amp  analisis ahli soal bakal calon menteri kabinet prabowo gibran,neutral
hahahahah kau bosan keee  awal sangat gileee nak dtg tgk babynya punnn  rehat ah duluuuu,negative
akun babi ternakan mulyono,negative
nih org ko balikin duit bts trs ga tahan,neutral
sbg timses  gimana bincang2nya dg,neutral
alam ganjar ungkap obrolannya gibran sela jeda debat capres,neutral
rapat bahlil ekspresi  aneh  mata gibran jadi sorotan netizen  pentingnya minum obat cacing,neutral
sukses anak2 ku semuanya,positive
mending bu puan aja,neutral
mungkin bantu jawab,neutral
gibran perasaan kamu gimana  sini cerita sm aku,negative
puas dikibulin,negative
si tedi ditanya gituan mana paham kuliah ruko aja do,neutral
masak gibran lcgc masak laki  hamil,neutral
gimana mau cabut izin nya wkwkkskskks,negative
wkwk plot twist udh kek kampus gibran aja terdeteksi,negative
jgn hapus    lihat 5 taun depan    bagaimna indonesia,neutral
terimakasih bapaknya gibran kakeknya jan ethes,positive
mirip gibran sama sama ngeselin,negative
kelakuan gibran lah yg jelas menjijikan gatau malu ga punya adab,negative
kok makin banyak akun2 bajer lewat for you,positive
la kan sebenarnya sbm indomie   sotong ork,negative
beda jauh sama biangnya asal ngomong,negative
polisinya kek banci  takut sama preman,negative
wkkkkk  polisi jadi jongos preman  gak harga diri  kejadian hotel menteng  wkwkwk  bubarkan polisi,negative
mugo   berani pak    meski hampir mustahil deh,positive
lahh pegimane urusannye      diajarin sapa si malsu in ijazah  makanya jangan maen ma anaknya mulyono   sesat,negative
kepemimpinan prabowo gibran kesempatan emas kemajuan bangsa   dukungprabowogibran  suksesprabowogibran  prabowogibranmerakyat  prabowogibranberdedikasi  karyanyata,negative
saatnya melangkah maju bersama prabowo gibran indonesia lebih sejahtera   dukungprabowogibran  suksesprabowogibran  prabowogibranmerakyat  prabowogibranberdedikasi  karyanyata,positive
jg tau yg diomongin,positive
prabowo gibran simbol harapan baru negeri   dukungprabowogibran  suksesprabowogibran  prabowogibranmerakyat  prabowogibranberdedikasi  karyanyata,negative
bersama prabowo gibran wujudkan indonesia lebih baik   dukungprabowogibran  suksesprabowogibran  prabowogibranmerakyat  prabowogibranberdedikasi  karyanyata,positive
senyum jawaban santai ahy soal isu dirinya jadi menko kabinet prabowo gibran,negative
gibran diganti  tetap pelantikan tgl 20 oktober  sejak fufufafa spiral gibran hilang gak pernah muncul media  opo o le awakmu,neutral
minta maaf   jejak keburukan akhlaqnya gibran hapus,negative
police tahu bangeut   kelompok relawan pasukan bawah tanah  pasbata  jokowi melaporkan roy suryo menyebut akun fufufafa milik wakil presiden terpilih gibran rakabuming raka,neutral
gen bohongan faham jangan dibahas,negative
udah kangen suaranya gibran,neutral
kalo bukan anak2 raja akhlak attitude buruk jadi tak mau jadi pasangan,negative
kaesang  nepotisme tuh apasih  gibran,negative
police tahu bangeut   kelompok relawan pasukan bawah tanah  pasbata  jokowi melaporkan roy suryo menyebut akun fufufafa milik wakil presiden terpilih gibran rakabuming raka,neutral
fadli zon sri mulyani   staf negara nya jokowi amin gibran diam aja hee boss band radja,negative
police tahu bangeut   kelompok relawan pasukan bawah tanah  pasbata  jokowi melaporkan roy suryo menyebut akun fufufafa milik wakil presiden terpilih gibran rakabuming raka,neutral
tetap semangat utk lakukan peenuan2 dgn pejuang bangsa  jangan mundur bila peemuan ajak masyarakat termsk fpi   212 utk menjaga keamanan  preman2 memang komandonya utk alihkan isu jokowi  amp  gibran  waspadai wereng coklat yg ikut bermain,positive
police tahu bangeut   kelompok relawan pasukan bawah tanah  pasbata  jokowi melaporkan roy suryo menyebut akun fufufafa milik wakil presiden terpilih gibran rakabuming raka       gt  gt  gt p,neutral
mah aku jln2 bandung apkh bs ketemu mas gibran,neutral
3 kata gblg minggu   gibran lambang negara,neutral
ayo mantap  biar semua jelas terang benderang bukti  yg nyata  silakan diungkap sebenarnya yg punya akun f4  benarkah  bukan,neutral
tetap semangat utk lakukan peenuan2 dgn pejuang bangsa  jangan mundur bila peemuan ajak masyarakat termsk fpi   212 utk menjaga keamanan  preman2 memang komandonya utk alihkan isu jokowi  amp  gibran  waspadai wereng coklat yg ikut bermain,positive
iq 70 dlm ilmu psikologi dikategorikan mental retardian   keterbelakangan  iq rata2  62 78 5  scra statistik normal hipotesa gw  38 9  msk kategori iq 70 kebawah 89  iqnya dibwh 100  kognitif utk bs kuliah si kmps yg bagus indonesia  angka 89  cocok,neutral
justru tujuannya bang membuat masyarakat jadi bingung lalu berbuat semuanya dibelakang kebingungan jadi tabiat keluarga si mulyono bang,positive
tanggapan     bagaimana  direzim mulyono 2019 promosikan pendukungnya dg hastag orang baik pilih orang baik,positive
settingan keberapa kali,negative
kalau bener f4 gibran gimana   bocot loe,neutral
bocah tengil kek girban wajib batalkan planga plongo kek pendukungnya,negative
peanyaan besarnya apkh gibran fufufafa dianulir cawapresnya  impeach pelantikan pelantikan,neutral
sekalin naturalisasi jis yg akses transpoasinya terbangun ubah namanya menjadi jakaa internasional shin tae yong dibuatkan patung patina beliau bersayap garuda pelataran stadionnya,positive
kata gibran bakat nyanyi gua mending pendam,neutral
hehehe alhamdulillah,positive
alhamdulillah apu valo hoise,positive
prabowo paham betul 2019 dicurangi dihambat kampanyenya mulyono  anak2 abah yg bela berjuang dibelakang beliau bukan penjilat2 sekarang yg muji2 beliau  ujungnya prabowo beindak gusur si samsul tinggal tunggu moment,negative
ijazahnya palsu fakta,negative
kapan mulai take spotify koncet bang sepi hari hariku belakangan kuis gibran,positive
nitip ri mereun,neutral
kibulan dilawan kenyataan ketidakmampuan,negative
kalau laporkan    berai benar  valid fufufafa gibran,negative
apa kelompok relawan pasukan bawah tanah  pasbata  jokowi melaporkan roy suryo atas dugaan penyebaran berita bohong menyebut akun fufufafa milik wakil presiden terpilih gibran rakabuming raka,negative
iya data apa yg dimaksud  elu sendiri ga jelasin  goblok,negative
indonesia lbh baik pak prabowo mengganti gibran dgn calon yg notabene sdh terdidik ahlaknya  rakyat indonesia jutaan banyak yg lbh baik si akun fufu fafa,positive
mendagri bagusnya karir internal kemendagri,negative
58   msh menjilat akhir hayat,positive
bangsa terlalu besar utk dipimpin gibran yg sdh menodai agama islam dgn kasus fufufafa nya  menghina pak prabowo anaknya,negative
foto gibran udah dipajang belom,neutral
as personal  sebaiknya pdip berada luar pemerintahan   biarkan nek lampir hidup dgn sakit kejiwaan yg penuh benci dendam memuliakan konflik berdarah apa tujuan masuk dgn pemerintahan prabowo bila tujuan makzulkan,negative
td ngechat anak fufufu saldi malah ketiknya fufufafa shial kau gibran,negative
apa kamu pikir profesor rh bicara data   dungu sekali kalau km berpikir bacot sendiri didunia maya padahal bukan ahlinya   onani intelektual,negative
halahh lebayy,positive
ketololan tukang kibul bahu membahu menutup hasil kerja kerja kerja nipu,negative
bener akunya milik gibran  dah terbukti  pimpinan sandiwara aja,positive
kata freya rawrrrr bg,positive
gibran   burung garuda     gimana mksudnya nih  jelasin,positive
kabar buruknya congornya gibran,negative
besok foto sama,neutral
boro boro minta maaf ngeles pengecut  gibran minta maaf soal fufufafa   mui turun gunung sorot postingan 2015,negative
kemarin coblos gibran cuma gara2 beras 5kg sekarang begini 5 thn kedepan,neutral
kaesang gibran jeleknya bener2 ancur bjir turunan jokowi jelek pisan  w dlu pas baru tau jokowi mukanya kea gmn lgsg mikir serius calon presiden bakal sejelek   gugling monyet pake jas hujan dulu lgsg keluar jokowi paling gokil skrg kaga otomatis resultsnya kea gt,negative
berita ambon,negative
begitulah    kampanye omongan  janji manis keluar bodo nya dikita mudah ter buai,negative
sudahlah gak capek hdp ngurusin beginian  mau kau caci mau kau hina tdk berubah ttp menjadi wapres    kurang ngurusin orang banyakin ibadah bekerja,negative
wkwkwkw satu suara sama pernyataan polisi aslinya bubarin polisi preman  bosqu     jangan2 polisi pukul orang mau diskusi pakai tangan oranglain,neutral
fufufafa gibran   wajah jelek ehh kelakuan ternyata kalah jelek,negative
disana kebanyakan gak up date cuek kalinya permasalahan seputar keluarga pak dhe  amp  boroknya pemerintahannya kelihatan happy banget gitu,negative
wkwkw apa cina,negative
89  keblikannya puas,negative
fufufafa gibran   ibukota jakaa yg layak dijadi ibukota negara     ikn nt,neutral
maaf bkn penjilat politikus  62,negative
knpa gua sebel bgt liat ava amin yg mirip gibran,positive
sepeinya menjawab gibran gak keliatan selama,neutral
pdip gabung p biar cepat tendang gibran,neutral
sewot       prabowo   gibran mau dilantik kek yg berdua presiden wapres ri 2024   2029      udah diem aja lu,neutral
kalau benar si gibran diganti epic banget sik    yg gue arepin   kaesang down      gibran pecat      rk kalah mudah2an   lutfi kalah   bobby kalah   bahlil dongkel   mulyono anteknya korupsinya bongkar gue balik jadi akun mesum  d,negative
kebijakan makan siang gratis prabowo gibran memiliki potensi besar menggerakkan ekonomi indonesia meningkatkan kesejahteraan masyarakat  kesehatangratisuntuksemua,positive
fak kata gue mah teh buat gibran,negative
anak anak indonesia layak tumbuh sehat terima kasih prabowo gibran atas program  makanbergiziuntukbangsa,positive
program sangat berai cegah stunting dukung penuh prabowo gibran  makanbergiziuntukbangsa,positive
terima kasih prabowo gibran makan sehat gratis sangat penting buat cegah stunting sumatera  makanbergiziuntukbangsa,positive
terima kasih prabowo gibran atas program sangat dibutuhkan masyarakat   makanbergiziuntukbangsa,positive
jijik banget sama penjilat  amp  yg si gibran nya,positive
sebentarlagi negara sekubu israel sesuai perjanjian,negative
generasi sehat stunting  yuk dukung prabowo gibran program bawa masa depan cerah  makanbergiziuntukbangsa,positive
yuk   goyang,positive
terima kasih prabowo gibran program selamatkan anak anak indonesia stunting  makanbergiziuntukbangsa,positive
terima kasih prabowo gibran anak anak indonesia layak gizi terbaik  makanbergiziuntukbangsa,positive
terima kasih prabowo gibran program bawa harapan baru cegah stunting indonesia  makanbergiziuntukbangsa,positive
prabowo gibran menunjukkan hanya memikirkan pembangunan fisik pembangunan manusia   makanbergiziuntukbangsa,negative
revolusi mental bullshit   mental kaesang  amp  gibran revolusi dulu cak,neutral
terima kasih prabowo gibran menunjukkan kepemimpinan bijaksana mendukung kesehatan generasi muda  makanbergiziuntukbangsa,positive
pendukung gibran btw,neutral
prabowo gibran memahami bangsa kuat dimulai anak anak sehat bergizi baik   makanbergiziuntukbangsa,positive
ridwan kamil  rk  mengaku menyaksikan momentum skaral pelantikan presiden wakil presiden terpilih periode 2024 2029 prabowo subianto gibran rakabuming raka    news  kitaindonesiasatucom,negative
terima kasih prabowo gibran program bawa harapan buat masa depan bebas stunting  makanbergiziuntukbangsa,negative
anak anak indonesia bebas stunting program makan sehat prabowo gibran solusinya  makanbergiziuntukbangsa,neutral
terima kasih prabowo gibran program makan sehat gratis langkah besar cegah stunting  makanbergiziuntukbangsa,positive
kalo melihat postingan fufufafa betul2 bahasa gibran,positive
sumatera dukung penuh prabowo gibran lawan stunting masa depan cerah  makanbergiziuntukbangsa,positive
buzzer tolol bin goblok mengatakan begini   segoblok gobloknya gibran mampu jadi wapres emang klo bapaknya jadi tukang kayu apa jadi wapres   mikirrrr,negative
anak anak sehat stunting masa depan kuat dukung penuh prabowo gibran  makanbergiziuntukbangsa,positive
terima kasih prabowo gibran program makan sehat sangat bermanfaat  makanbergiziuntukbangsa,positive
manusia  kacanglupakulit dibanggakan    saking sarakah kekuasaan tega2nya  ngemis padhe rudi f anaknya  dicawalkot solo,negative
terima kasih prabowo gibran program bawa masa depan lebih cerah anak anak  makanbergiziuntukbangsa,positive
terima kasih prabowo gibran atas program sangat bermanfaat   makanbergiziuntukbangsa,positive
langkah menunjukkan prabowo gibran memahami pentingnya gizi pembentukan generasi penerus bangsa   makanbergiziuntukbangsa,neutral
terima kasih prabowo gibran program makan bergizi gratis luar biasa  makanbergiziuntukbangsa,positive
terima kasih prabowo gibran program bawa harapan baru anak anak bebas stunting  makanbergiziuntukbangsa,negative
terima kasih prabowo gibran program makan bergizi gratis bantu cegah stunting masa depan indonesia  makanbergiziuntukbangsa,positive
